City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
12,Atuona,PF,78.91,broken clouds,-9.8,-139.0333,Villa Enata
14,Butaritari,KI,81.03,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
18,Rikitea,PF,79.14,few clouds,-23.1203,-134.9692,People ThankYou
19,Hithadhoo,MV,81.63,clear sky,-0.6,73.0833,Scoop Guest House
20,Berbera,SO,79.61,few clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
26,Kiunga,PG,78.57,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
29,Chirongui,YT,76.93,broken clouds,-12.9319,45.1483,La Villa Mahatsara
36,Kapaa,US,79.48,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
49,San Patricio,US,85.53,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
51,Dingle,PH,78.44,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
61,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
64,Belmonte,BR,78.17,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
66,Tabou,CI,80.17,broken clouds,4.423,-7.3528,hotêl doufoulougou
67,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
70,Saint George,US,84.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
73,Kavaratti,IN,82.27,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
78,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
89,Nargana,PA,79.36,scattered clouds,9.4428,-78.5906,Dubbir
94,Kavieng,PG,83.66,broken clouds,-2.5744,150.7967,Nusa Island Retreat
103,Hilo,US,80.33,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
107,Yokadouma,CM,75.47,overcast clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
116,Conakry,GN,78.24,light rain,9.538,-13.6773,Riviera Royal Hotel
125,Puerto Ayora,EC,84.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
128,Ambon,ID,77.14,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
133,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
135,Kununurra,AU,75.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
141,San Ignacio,BZ,82.54,clear sky,17.1561,-89.0714,Rainforest Haven Inn
160,Cabo San Lucas,MX,87.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
162,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
171,Faanui,PF,82.02,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
173,Sola,VU,82.78,overcast clouds,-13.8833,167.55,Leumerus Bungalows
174,Kollam,IN,78.8,clear sky,8.8833,76.6,The Raviz Ashtamudi
177,Sinnamary,GF,77.56,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
178,Namatanai,PG,81.9,light rain,-3.6667,152.4333,Seagulls Inn Namatani
179,Thinadhoo,MV,81.61,few clouds,0.5333,72.9333,
186,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
191,Phan Thiet,VN,76.39,overcast clouds,10.9333,108.1,Hotel Saigon-PT
192,Taoudenni,ML,87.28,few clouds,22.6783,-3.9836,
193,Sembe,CG,78.08,scattered clouds,1.6481,14.5806,
195,Maumere,ID,79.95,overcast clouds,-8.6199,122.2111,Sylvia Hotel
196,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
198,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
201,Wewak,PG,81.28,light rain,-3.5534,143.6268,In Wewak Boutique Hotel
206,Pasni,PK,77.07,clear sky,25.2631,63.471,Kashmiri Hotal
208,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
210,Amarante,BR,77.09,moderate rain,-6.2411,-42.8547,Hotel Pousada Velho Monge
211,Tucurui,BR,75.97,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
212,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
213,Tayud,PH,78.8,broken clouds,10.3782,123.994,Flory's Inn Cebu
215,Dovers,VC,76.59,overcast clouds,12.8833,-61.1833,Ocean Breeze
216,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
218,Puerto Escondido,MX,83.62,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
219,Boa Vista,BR,87.78,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
229,Auki,SB,81.79,overcast clouds,-8.7676,160.7034,Auki Motel
238,Caravelas,BR,76.17,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
244,Mumford,GH,81.28,broken clouds,5.2618,-0.759,Spanish Villa
249,Port Blair,IN,80.53,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
254,Mount Isa,AU,80.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
