City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Elizabeth,ZA,-33.918,25.5701,66.49,96,0,9.22,clear sky
1,Kijang,KR,35.2442,129.2139,44.33,46,97,11.39,overcast clouds
2,Mar Del Plata,AR,-38.0023,-57.5575,66.22,68,0,6.91,light rain
3,Bluff,NZ,-46.6,168.3333,58.53,75,10,1.95,clear sky
4,Tukrah,LY,32.5341,20.5791,63.48,36,99,12.06,overcast clouds
5,Roald,NO,62.5833,6.1333,48.0,93,75,26.46,broken clouds
6,Albany,US,42.6001,-73.9662,30.63,61,100,1.01,overcast clouds
7,Rocha,UY,-34.4833,-54.3333,62.85,54,0,4.18,clear sky
8,Beringovskiy,RU,63.05,179.3167,7.23,85,40,6.71,scattered clouds
9,Hobart,AU,-42.8794,147.3294,64.26,76,0,6.91,heavy intensity rain
10,Busselton,AU,-33.65,115.3333,58.42,69,0,14.41,clear sky
11,Haines Junction,CA,60.7522,-137.5108,37.35,41,94,4.61,overcast clouds
12,Atuona,PF,-9.8,-139.0333,78.91,79,60,12.66,broken clouds
13,Hofn,IS,64.2539,-15.2082,32.56,73,100,8.25,overcast clouds
14,Butaritari,KI,3.0707,172.7902,81.03,65,90,7.67,overcast clouds
15,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,64,0,9.22,clear sky
16,Iqaluit,CA,63.7506,-68.5145,17.33,100,100,2.3,mist
17,Lavrentiya,RU,65.5833,-171.0,15.78,77,69,3.0,broken clouds
18,Rikitea,PF,-23.1203,-134.9692,79.14,66,14,9.44,few clouds
19,Hithadhoo,MV,-0.6,73.0833,81.63,65,6,6.17,clear sky
20,Berbera,SO,10.4396,45.0143,79.61,64,11,5.35,few clouds
21,Deputatskiy,RU,69.3,139.9,-4.29,85,41,3.2,scattered clouds
22,Ushuaia,AR,-54.8,-68.3,47.86,57,20,4.61,few clouds
23,Beyneu,KZ,45.3167,55.2,42.49,83,100,9.35,overcast clouds
24,Katsuura,JP,35.1333,140.3,55.09,81,82,11.3,broken clouds
25,Saint-Ambroise,CA,48.5501,-71.3324,23.32,94,100,10.63,light snow
26,Kiunga,PG,-6.1219,141.2906,78.57,88,77,2.57,broken clouds
27,Heihe,CN,50.2441,127.4902,23.58,83,91,4.07,overcast clouds
28,Ponta Do Sol,PT,32.6667,-17.1,64.06,78,23,4.45,few clouds
29,Chirongui,YT,-12.9319,45.1483,76.93,76,79,0.74,broken clouds
30,Funtua,NG,11.5233,7.3081,71.89,13,14,10.04,few clouds
31,Nikolskoye,RU,59.7035,30.7861,26.71,85,100,8.99,overcast clouds
32,Cape Town,ZA,-33.9258,18.4232,69.12,66,0,6.91,clear sky
33,Hermanus,ZA,-34.4187,19.2345,66.79,67,98,3.15,overcast clouds
34,Killybegs,IE,54.6333,-8.45,48.52,83,55,5.08,broken clouds
35,Broome,US,42.2506,-75.833,27.7,72,100,19.57,overcast clouds
36,Kapaa,US,22.0752,-159.319,79.48,65,20,8.05,few clouds
37,Luderitz,NA,-26.6481,15.1594,64.65,68,0,5.75,clear sky
38,Lugoba,TZ,-6.45,38.3333,74.89,91,71,1.95,light rain
39,Vuktyl,RU,63.8567,57.3094,24.17,96,100,8.93,light snow
40,Torbay,CA,47.6666,-52.7314,41.29,90,100,14.97,overcast clouds
41,Novobirilyussy,RU,56.9514,90.6661,-2.42,100,66,2.35,broken clouds
42,Mataura,NZ,-46.1927,168.8643,66.81,56,3,2.62,clear sky
43,Camalu,MX,30.85,-116.0667,65.14,58,75,6.93,broken clouds
44,Saint-Francois,FR,46.4154,3.9054,45.68,87,0,2.3,clear sky
45,Chimore,BO,-16.9833,-65.1333,72.64,81,73,1.77,broken clouds
46,Lebu,CL,-37.6167,-73.65,55.74,80,0,10.74,clear sky
47,Talovaya,RU,51.1144,40.73,24.33,75,98,17.96,overcast clouds
48,Talara,PE,-4.5772,-81.2719,73.99,76,100,10.22,overcast clouds
49,San Patricio,US,28.017,-97.5169,85.53,44,99,17.58,overcast clouds
